Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
alvaro aceves,Valladolid,0.1,0.04,0.1,28.6,1,0.0,2,2022-2023,laliga
julen agirrezabala,Athletic Club,5.5,0.3,-0.5,29.6,96,11.5,10,2022-2023,laliga
sergio asenjo,Valladolid,16.8,0.31,-4.2,38.8,166,3.0,17,2022-2023,laliga
edgar badia,Elche,69.5,0.31,8.5,33.8,574,3.7,20,2022-2023,laliga
yassine bounou,Sevilla,37.3,0.34,-1.7,27.9,308,6.5,39,2022-2023,laliga
claudio bravo,Betis,11.0,0.24,2.0,51.7,213,1.9,6,2022-2023,laliga
juan carlos,Girona,16.7,0.35,-1.3,17.6,120,5.0,21,2022-2023,laliga
thibaut courtois,Real Madrid,29.7,0.22,0.7,18.4,366,8.7,40,2022-2023,laliga
stole dimitrievski,Rayo Vallecano,44.2,0.3,-0.8,45.0,500,4.8,52,2022-2023,laliga
marko dmitrovic,Sevilla,12.2,0.23,0.2,58.1,216,5.6,10,2022-2023,laliga
aitor fernandez,Osasuna,17.7,0.24,-0.3,50.9,319,4.4,37,2022-2023,laliga
alvaro fernandez,Espanyol,15.2,0.31,-1.8,55.7,153,3.3,15,2022-2023,laliga
fernando,Almería,60.5,0.29,0.5,39.1,614,6.4,26,2022-2023,laliga
joan garcia,Espanyol,1.8,0.21,-1.2,14.8,16,12.5,1,2022-2023,laliga
paulo gazzaniga,Girona,45.3,0.33,8.3,31.1,477,7.8,38,2022-2023,laliga
david gil,Cádiz,6.3,0.23,1.3,64.5,56,3.6,4,2022-2023,laliga
antonio gomis,Atlético Madrid,0.6,0.64,-0.4,100.0,3,0.0,0,2022-2023,laliga
ivo grbic,Atlético Madrid,13.8,0.23,1.8,37.4,214,10.7,7,2022-2023,laliga
dominik greif,Mallorca,2.2,0.28,-0.8,87.0,19,10.5,0,2022-2023,laliga
sergio herrera,Osasuna,21.4,0.28,-0.6,56.0,215,7.4,20,2022-2023,laliga
filip jrgensen,Villarreal,2.3,0.39,-0.7,9.1,18,11.1,4,2022-2023,laliga
benjamin lecomte,Espanyol,10.4,0.26,-2.6,57.3,146,2.7,11,2022-2023,laliga
jeremias ledesma,Cádiz,47.1,0.22,-0.9,58.5,595,7.1,26,2022-2023,laliga
diego lopez,Rayo Vallecano,1.7,0.33,-2.3,28.6,12,0.0,2,2022-2023,laliga
andriy lunin,Real Madrid,4.5,0.25,-1.5,7.9,54,1.9,11,2022-2023,laliga
giorgi mamardashvili,Valencia,42.9,0.28,-0.1,40.8,457,7.7,47,2022-2023,laliga
agustin marchesin,Celta Vigo,20.7,0.24,-7.3,39.8,253,5.5,25,2022-2023,laliga
diego marino,Almería,1.4,0.28,-0.6,33.3,12,0.0,0,2022-2023,laliga
jordi masip,Valladolid,45.8,0.27,4.8,36.8,396,3.8,14,2022-2023,laliga
jan oblak,Atlético Madrid,21.9,0.27,1.9,40.4,358,7.0,19,2022-2023,laliga
fernando pacheco,Almería,1.6,0.32,-0.4,42.3,16,6.3,2,2022-2023,laliga
fernando pacheco,Espanyol,26.6,0.25,-6.4,42.4,242,6.6,19,2022-2023,laliga
inaki pena,Barcelona,1.4,0.36,-0.6,13.0,7,0.0,2,2022-2023,laliga
predrag rajkovic,Mallorca,39.2,0.25,-0.8,61.8,608,5.3,19,2022-2023,laliga
pepe reina,Villarreal,28.9,0.29,2.9,22.1,315,4.8,20,2022-2023,laliga
alex remiro,Real Sociedad,32.8,0.24,-0.2,39.8,453,4.0,47,2022-2023,laliga
leo roman,Mallorca,0.1,0.03,0.1,40.0,30,3.3,2,2022-2023,laliga
geronimo rulli,Villarreal,12.5,0.23,2.5,19.3,215,9.3,21,2022-2023,laliga
rui silva,Betis,32.9,0.3,1.9,40.7,369,4.9,37,2022-2023,laliga
unai simon,Athletic Club,31.7,0.28,-2.3,30.6,355,5.1,40,2022-2023,laliga
david soria,Getafe,45.5,0.23,2.5,75.1,586,6.1,46,2022-2023,laliga
marcandre ter stegen,Barcelona,23.7,0.21,8.7,22.1,368,4.9,41,2022-2023,laliga
ivan villar,Celta Vigo,22.2,0.31,-1.8,34.7,256,3.1,14,2022-2023,laliga
axel werner,Elche,2.4,0.31,-1.6,32.1,26,3.8,1,2022-2023,laliga
